{PERIODS};Electricity (%_elec);Space Heating (%_sh);Passanger mobility (%_pass);Freight mobility (%_freight);PV;Wind_onshore;Wind_offshore;Hydro_river;Solar;SFH_RENO;MFH_RENO
22;7.64E-05;0.000146225;3.76E-05;0.000114155;0;0.826034957;0.935478096;0.362962781;0;0.356794665;0.378053292
23;9.24E-05;0.000147886;2.35E-05;0.000114155;0;0.853266341;0.935123561;0.36271464;0;0.288440122;0.393376316
24;9.26E-05;0.00015121;9.40E-06;0.000114155;0;0.866159322;0.929387812;0.3624665;0;0.280187247;0.395439756
25;6.64E-05;0.000159518;5.87E-06;0.000114155;0;0.862749552;0.929387812;0.362218359;0;0.28914425;0.40191674
26;4.77E-05;0.000167826;2.35E-06;0.000114155;0;0.878083491;0.919359028;0.361970218;0;0.317043202;0.400631494
27;3.25E-05;0.000176134;1.17E-06;0.000114155;0;0.888571149;0.905633951;0.361722078;0;0.324178825;0.392179528
28;2.38E-05;0.000179457;1.41E-05;0.000114155;0;0.882831779;0.886910278;0.361502569;0;0.310174335;0.392137449
29;2.57E-05;0.000184442;3.76E-05;0.000114155;0;0.862751779;0.919738135;0.361254428;0;0.312714885;0.392530901
30;4.10E-05;0.000189427;9.40E-05;0.000114155;0;0.823997114;0.921177338;0.361006288;0;0.360186562;0.358930438
31;7.12E-05;0.000192751;0.0001821;0.000114155;0;0.792491826;0.929682673;0.360758147;0;0.41431219;0.345083119
32;9.33E-05;0.000196074;0.000158603;0.000114155;0;0.754962094;0.927471216;0.360510007;0;0.33075576;0.348883528
33;0.000117755;0.000196074;0.000146855;0.000114155;0;0.734278536;0.827186886;0.360261866;0;0.274107926;0.374547616
34;0.00013528;0.000187766;0.000164478;0.000114155;0.002387787;0.660758033;0.708168352;0.360013726;0;0.292341836;0.360829017
35;0.000142275;0.000186104;0.000187974;0.000114155;0.024310843;0.544810291;0.540599551;0.359765585;0;0.367527846;0.31955467
36;0.000149154;0.000179457;0.000206772;0.000114155;0.057986783;0.455630685;0.887903679;0.359546076;0;0.301735582;0.343836892
37;0.000148693;0.000167826;0.000187974;0.000114155;0.112998477;0.422218956;0.913963774;0.359297936;0.064570558;0.349112259;0.313937429
38;0.000146579;0.000162841;0.000190324;0.000114155;0.190313902;0.470390019;0.921868857;0.359049795;0.078607916;0.270642329;0.296747259
39;0.000141083;0.000154533;0.000213821;0.000114155;0.199906203;0.431492815;0.928201348;0.358801655;0.495069724;0.261586454;0.232523939
40;0.000143581;0.000159518;0.00022322;0.000114155;0.11912613;0.405911751;0.933080595;0.358553514;0.219038368;0.264535795;0.201780985
41;0.000147847;0.000167826;0.00022322;0.000114155;0.019296062;0.407749151;0.933080595;0.358305374;0;0.242051126;0.206323145
42;0.000177709;0.000172811;0.000164478;0.000114155;0;0.406145602;0.931609801;0.358057233;0;0.270162191;0.16123126
43;0.00017963;0.000177796;0.000117484;0.000114155;0;0.417410535;0.92303075;0.357809093;0;0.292846725;0.142895149
44;0.000163335;0.000181119;8.81E-05;0.000114155;0;0.410989657;0.897297108;0.357589584;0;0.335493326;0.213531201
45;0.000142582;0.000186104;5.87E-05;0.000114155;0;0.380450954;0.897219882;0.357341443;0;0.287804003;0.224011641
46;0.000124673;0.000189427;3.76E-05;0.000114155;0;0.36295445;0.871317748;0.357093303;0;0.344040726;0.241795726
47;0.000136471;0.000194412;2.35E-05;0.000114155;0;0.303010664;0.819875035;0.356845162;0;0.266580155;0.260891765
48;0.00013405;0.000199397;9.40E-06;0.000114155;0;0.248376406;0.714065571;0.356597022;0;0.248225841;0.269851037
49;0.000105649;0.000201059;5.87E-06;0.000114155;0;0.234378758;0.646272115;0.35644432;0;0.27301519;0.281096354
50;7.91E-05;0.00020272;2.35E-06;0.000114155;0;0.170047483;0.539177899;0.35644432;0;0.249499149;0.245682378
51;6.78E-05;0.00020272;1.17E-06;0.000114155;0;0.179797953;0.391248947;0.356425232;0;0.254682032;0.243907268
52;5.78E-05;0.000204382;1.41E-05;0.000114155;0;0.233091465;0.471672283;0.356425232;0;0.283704735;0.252011216
53;5.90E-05;0.000204382;3.76E-05;0.000114155;0;0.324128516;0.523020219;0.356425232;0;0.273022686;0.264719771
54;7.25E-05;0.000204382;9.40E-05;0.000114155;0;0.419642141;0.655588318;0.356425232;0;0.303487378;0.30204313
55;0.000100499;0.000204382;0.0001821;0.000114155;0;0.439610783;0.671577506;0.356396601;0;0.381812583;0.279294583
56;0.000122175;0.000204382;0.000158603;0.000114155;0;0.328295516;0.574887672;0.356396601;0;0.325287072;0.270499791
